Index,Último,,,,,,,,,,,,,,,
550,29.83,,,,,,,,,,,,,,,
551,30.32,,,,,,,,,,,,,,,
552,30.22,,,,,,,,,,,,,,,
553,29.52,,,,,,,,,,,,,,,
554,31.71,,,,,,,,,,,,,,,
555,31.72,,,,,,,,,,,,,,,
556,32.01,,,,,,,,,,,,,,,
557,32.76,,,,,,,,,,,,,,,
558,33.42,,,,,,,,,,,,,,,
559,31.73,,,,,,,,,,,,,,,
560,32.41,,,,,,,,,,,,,,,
561,33.44,,,,,,,,,,,,,,,
562,33.64,,,,,,,,,,,,,,,
563,33.28,,,,,,,,,,,,,,,
564,33.64,,,,,,,,,,,,,,,
565,34.48,,,,,,,,,,,,,,,
566,32.43,,,,,,,,,,,,,,,
567,33.23,,,,,,,,,,,,,,,
568,33.85,,,,,,,,,,,,,,,
569,33.42,,,,,,,,,,,,,,,
570,33.33,,,,,,,,,,,,,,,
571,32.1,,,,,,,,,,,,,,,
572,31.8,,,,,,,,,,,,,,,
573,31.79,,,,,,,,,,,,,,,
574,31.58,,,,,,,,,,,,,,,
575,30.65,,,,,,,,,,,,,,,
576,31.12,,,,,,,,,,,,,,,
577,31.06,,,,,,,,,,,,,,,
578,30.78,,,,,,,,,,,,,,,
579,31.27,,,,,,,,,,,,,,,
580,31.09,,,,,,,,,,,,,,,
581,31.17,,,,,,,,,,,,,,,
582,31.94,,,,,,,,,,,,,,,
583,29.94,,,,,,,,,,,,,,,
584,29.46,,,,,,,,,,,,,,,
585,29.67,,,,,,,,,,,,,,,
586,29.27,,,,,,,,,,,,,,,
587,29.31,,,,,,,,,,,,,,,
588,29.8,,,,,,,,,,,,,,,
589,32.18,,,,,,,,,,,,,,,
590,31.37,,,,,,,,,,,,,,,
591,32.55,,,,,,,,,,,,,,,
592,33.66,,,,,,,,,,,,,,,
593,33.63,,,,,,,,,,,,,,,
594,33.25,,,,,,,,,,,,,,,
595,33,,,,,,,,,,,,,,,
596,33.94,,,,,,,,,,,,,,,
597,33.42,,,,,,,,,,,,,,,
598,33.39,,,,,,,,,,,,,,,
599,34.21,,,,,,,,,,,,,,,
600,35.42,,,,,,,,,,,,,,,
601,36.47,,,,,,,,,,,,,,,
602,37.72,,,,,,,,,,,,,,,
603,34.25,,,,,,,,,,,,,,,
604,33.53,,,,,,,,,,,,,,,
605,32.71,,,,,,,,,,,,,,,
606,32.96,,,,,,,,,,,,,,,
607,32.57,,,,,,,,,,,,,,,
608,29.81,,,,,,,,,,,,,,,
609,29.86,,,,,,,,,,,,,,,
610,29.95,,,,,,,,,,,,,,,
611,28.3,,,,,,,,,,,,,,,
612,27.15,,,,,,,,,,,,,,,
613,27.35,,,,,,,,,,,,,,,
614,26.9,,,,,,,,,,,,,,,
615,26.12,,,,,,,,,,,,,,,
616,26.99,,,,,,,,,,,,,,,
617,27.7,,,,,,,,,,,,,,,
618,27.15,,,,,,,,,,,,,,,
619,27.16,,,,,,,,,,,,,,,
620,26.7,,,,,,,,,,,,,,,
621,23.43,,,,,,,,,,,,,,,
622,23.33,,,,,,,,,,,,,,,
623,23.44,,,,,,,,,,,,,,,
624,24.25,,,,,,,,,,,,,,,
625,23.86,,,,,,,,,,,,,,,
626,24.36,,,,,,,,,,,,,,,
627,25.38,,,,,,,,,,,,,,,
628,26.66,,,,,,,,,,,,,,,
629,25.59,,,,,,,,,,,,,,,
630,25.91,,,,,,,,,,,,,,,
631,25.62,,,,,,,,,,,,,,,
632,25.64,,,,,,,,,,,,,,,
633,25.35,,,,,,,,,,,,,,,
634,24.78,,,,,,,,,,,,,,,
635,24.71,,,,,,,,,,,,,,,
636,23.91,,,,,,,,,,,,,,,
637,23.32,,,,,,,,,,,,,,,
638,21.47,,,,,,,,,,,,,,,
639,22.04,,,,,,,,,,,,,,,
640,22.05,,,,,,,,,,,,,,,
641,22.38,,,,,,,,,,,,,,,
642,23.07,,,,,,,,,,,,,,,
643,23.57,,,,,,,,,,,,,,,
644,23.99,,,,,,,,,,,,,,,
645,25.12,,,,,,,,,,,,,,,
646,24.94,,,,,,,,,,,,,,,
647,25.11,,,,,,,,,,,,,,,
648,24.8,,,,,,,,,,,,,,,
649,24.5,,,,,,,,,,,,,,,
650,22.92,,,,,,,,,,,,,,,
651,22.34,,,,,,,,,,,,,,,
652,23.05,,,,,,,,,,,,,,,
653,23.88,,,,,,,,,,,,,,,
654,23.74,,,,,,,,,,,,,,,
655,23.87,,,,,,,,,,,,,,,
656,24.09,,,,,,,,,,,,,,,
657,24.28,,,,,,,,,,,,,,,
658,24.63,,,,,,,,,,,,,,,
659,24.57,,,,,,,,,,,,,,,
660,24.04,,,,,,,,,,,,,,,
661,25.52,,,,,,,,,,,,,,,
662,25.07,,,,,,,,,,,,,,,
663,25.83,,,,,,,,,,,,,,,
